MtrCode,MtrTitle,PRC_VALUE,PRC_CODE,prc_value,prc_code
C21011HSCT,Number of long-term conditions by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21011LGD,Number of long-term conditions by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21011NI,Number of long-term conditions by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21012HSCT,Type of long-term condition: Autism or Asperger syndrome by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21012LGD,Type of long-term condition: Autism or Asperger syndrome by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21012NI,Type of long-term condition: Autism or Asperger syndrome by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21013HSCT,Type of long-term condition: Shortness of breath or difficulty breathing by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21013LGD,Type of long-term condition: Shortness of breath or difficulty breathing by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21013NI,Type of long-term condition: Shortness of breath or difficulty breathing by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21014HSCT,"Type of long-term condition: Emotional, psychological or mental health condition by age and sex",Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21014LGD,"Type of long-term condition: Emotional, psychological or mental health condition by age and sex",Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21014NI,"Type of long-term condition: Emotional, psychological or mental health condition by age and sex",Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21015HSCT,Type of long-term condition: Deafness or partial hearing loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21015LGD,Type of long-term condition: Deafness or partial hearing loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21015NI,Type of long-term condition: Deafness or partial hearing loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21016HSCT,Type of long-term condition: Intellectual or learning disability by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21016LGD,Type of long-term condition: Intellectual or learning disability by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21016NI,Type of long-term condition: Intellectual or learning disability by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21017HSCT,Type of long-term condition: Learning difficulty by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21017LGD,Type of long-term condition: Learning difficulty by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21017NI,Type of long-term condition: Learning difficulty by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21018HSCT,Type of long-term condition: Frequent periods of confusion or memory loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21018LGD,Type of long-term condition: Frequent periods of confusion or memory loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21018NI,Type of long-term condition: Frequent periods of confusion or memory loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21019HSCT,Type of long-term condition: Mobility or dexterity difficulty that limits basic physical activities by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21019LGD,Type of long-term condition: Mobility or dexterity difficulty that limits basic physical activities by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21019NI,Type of long-term condition: Mobility or dexterity difficulty that limits basic physical activities by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21020HSCT,Type of long-term condition: Mobility or dexterity difficulty that requires the use of a wheelchair by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21020LGD,Type of long-term condition: Mobility or dexterity difficulty that requires the use of a wheelchair by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21020NI,Type of long-term condition: Mobility or dexterity difficulty that requires the use of a wheelchair by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21021HSCT,Type of long-term condition: Other condition by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21021LGD,Type of long-term condition: Other condition by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21021NI,Type of long-term condition: Other condition by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21022HSCT,Type of long-term condition: Long-term pain or discomfort by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21022LGD,Type of long-term condition: Long-term pain or discomfort by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21022NI,Type of long-term condition: Long-term pain or discomfort by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21023HSCT,Type of long-term condition: Blindness or partial sight loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21023LGD,Type of long-term condition: Blindness or partial sight loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21023NI,Type of long-term condition: Blindness or partial sight loss by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21500EQ,Usual resident population,Census 2021,C2021,Census,CEN
C21501EQ,Economic activity,Census 2021,C2021,Census,CEN
C21502EQ,Industry of employment,Census 2021,C2021,Census,CEN
C21503EQ,Hours worked,Census 2021,C2021,Census,CEN
CARELEAVE19HSCT,Care Leavers Aged 19,Children looked after in care,CLA,Children Services,MLBTH1P6
CCAAAA,Claimant Count Annual Averages,Claimant count,DWRBCC,Economic Inactivity,MLBTH4P4
CCAALGD,Claimant Count Annual Averages,Claimant count,DWRBCC,Economic Inactivity,MLBTH4P4
CCMAA,Claimant Count Monthly Data,Claimant count,DWRBCC,Economic Inactivity,MLBTH4P4
CCMLGD,Claimant Count Monthly Data,Claimant count,DWRBCC,Economic Inactivity,MLBTH4P4
CCMSOA,Claimant Count Monthly Data,Claimant count,DWRBCC,Economic Inactivity,MLBTH4P4
CHILDBMIHSCT,Childhood BMI,Diet and dental health,HIDDH,Healthy Children,MLBTH1P4
CHILDBMIHSCT,Childhood BMI,Diet and dental health,HIDDH,Healthy Behaviours,MLBTH3P4
CHILDBMILGD,Childhood BMI,Diet and dental health,HIDDH,Healthy Children,MLBTH1P4
CHILDBMILGD,Childhood BMI,Diet and dental health,HIDDH,Healthy Behaviours,MLBTH3P4
CHSACTIONLGD,Continuous Household Survey: Actions taken for a positive impact on the environment,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSACTIONLGD,Continuous Household Survey: Actions taken for a positive impact on the environment,Public attitudes,EECPA,Volunteering,MLBTH5P7
CHSBIODIVLGD,Continuous Household Survey: Considered greatest threat to biodiversity,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSCONCERNLGD,Continuous Household Survey: Concern about the environment,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSCONLGD,Continuous Household Survey: Concern about the environment,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSENVIINFOLGD,Continuous Household Survey: Environmental Information Source,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSENVIPHRLGD,Continuous Household Survey: Environmental phrases heard of,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSENVIPROBLGD,Continuous Household Survey: Environmental problems considered most important,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSENVPROBLEMSLGD,Continuous Household Survey: Environmental problems considered most important,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSPOSIMPLGD,Continuous Household Survey: Actions taken for a positive impact on the environment,Public attitudes,EECPA,Environmental,MLBTH4P6
CHSPOSIMPLGD,Continuous Household Survey: Actions taken for a positive impact on the environment,Public attitudes,EECPA,Volunteering,MLBTH5P7
COMRELEQ,Community Relations,Community relations,CCR,Life and Times Survey,LATS
CONFCJSHSCT,NISCS: Confidence in the Criminal Justice System,Confidence in system,EACS,Safe Communities Survey,MLBTH5P4
CONFCJSLGD,NISCS: Confidence in the Criminal Justice System,Confidence in system,EACS,Safe Communities Survey,MLBTH5P4
CONFPOHSCT,NISCS: Confidence in Policing,Confidence in system,EACS,Safe Communities Survey,MLBTH5P4
CONFPOLGD,NISCS: Confidence in Policing,Confidence in system,EACS,Safe Communities Survey,MLBTH5P4
CONTHRSHSCT,Domiciliary Care Contact Hours,Care at home,CAHS,Healthy Ageing,MLBTH2P1
CONTWITHHSCT,Persons with Disability or Impairment in Contact with Health and Social Care Trusts,Care not at home,CNAH,Health Conditions and Disability,MLBTH3P6
CULTIDEQ,Respected Cultural Identity,Community relations,CCR,Life and Times Survey,LATS
CWT31HSCT,Cancer Waiting Times: Patients Starting Treatment Following a Decision to Treat (31 Day Target),Hospital waiting times,HAWLHWT,Hospital Activity,MLBTH3P5
CWT31TUMOUR,Cancer Waiting Times: Patients Starting Treatment Following a Decision to Treat (31 Day Target),Hospital waiting times,HAWLHWT,Hospital Activity,MLBTH3P5
CWT62HSCT,Cancer Waiting Times: Patients Starting Treatment Following an Urgent GP Referral (62 Day Target),Hospital waiting times,HAWLHWT,Hospital Activity,MLBTH3P5
CWT62TUMOUR,Cancer Waiting Times: Patients Starting Treatment Following an Urgent GP Referral (62 Day Target),Hospital waiting times,HAWLHWT,Hospital Activity,MLBTH3P5
CWTBCHSCT,Cancer Waiting Times: Patients Seen Following Urgent Referral for Suspect Breast Cancer (14 Day Target),Hospital waiting times,HAWLHWT,Hospital Activity,MLBTH3P5
DCCLIENTSHSCT,Domiciliary Care Client Numbers,Care at home,CAHS,Healthy Ageing,MLBTH2P1
DEATTAA,Pupil Attendance,Attendance,SAA,Education,MLBTH1P5
DEATTDEA,Pupil Attendance,Attendance,SAA,Education,MLBTH1P5
DEATTHSCT,Pupil Attendance,Attendance,SAA,Education,MLBTH1P5
DEATTLGD,Pupil Attendance,Attendance,SAA,Education,MLBTH1P5
DESCEQ,"Primary, Post Primary and Special Schools",All Schools,SEALL,Education,MLBTH1P5
DESCEQ,"Primary, Post Primary and Special Schools",All Schools,SEALL,School and College Education,SCE
DESCPAA,School Census - Primary,Primary,SEPRMRY,Education,MLBTH1P5
DESCPDEA,School Census - Primary,Primary,SEPRMRY,Education,MLBTH1P5
DESCPHSCT,School Census - Primary,Primary,SEPRMRY,Education,MLBTH1P5
DESCPLGD,School Census - Primary,Primary,SEPRMRY,Education,MLBTH1P5
DESCPPAA,School Census - Post Primary,Post Primary,SEPP,Education,MLBTH1P5
DESCPPDEA,School Census - Post Primary,Post Primary,SEPP,Education,MLBTH1P5
DESCPPHSCT,School Census - Post Primary,Post Primary,SEPP,Education,MLBTH1P5
DESCPPLGD,School Census - Post Primary,Post Primary,SEPP,Education,MLBTH1P5
DESCSAA,School Census - Special Schools,Special Schools,SESS,Education,MLBTH1P5
DESCSDEA,School Census - Special Schools,Special Schools,SESS,Education,MLBTH1P5
DESCSHSCT,School Census - Special Schools,Special Schools,SESS,Education,MLBTH1P5
DESCSLGD,School Census - Special Schools,Special Schools,SESS,Education,MLBTH1P5
DESLSAAA,School Leavers Survey - Attainment,Qualifications,SLQUAL,Education,MLBTH1P5
DESLSADEA,School Leavers Survey - Attainment,Qualifications,SLQUAL,Education,MLBTH1P5
DESLSAHSCT,School Leavers Survey - Attainment,Qualifications,SLQUAL,Education,MLBTH1P5
DESLSALGD,School Leavers Survey - Attainment,Qualifications,SLQUAL,Education,MLBTH1P5
DESLSDAA,School Leavers Survey - Destination,Destination,SLDEST,Education,MLBTH1P5
DESLSDDEA,School Leavers Survey - Destination,Destination,SLDEST,Education,MLBTH1P5
DESLSDHSCT,School Leavers Survey - Destination,Destination,SLDEST,Education,MLBTH1P5
DESLSDLGD,School Leavers Survey - Destination,Destination,SLDEST,Education,MLBTH1P5
DETNLGD,Teachers in Northern Ireland,School workforce,SWSW,Civil Participation and Employment,DOM6
DFLEDEPQUIN,Disability Free Life Expectancy at Birth,Life expectancy and general health,HILEGH,Life Expectancy,MLBKOIP2
DFLEURBRUR,Disability Free Life Expectancy at Birth,Life expectancy and general health,HILEGH,Health and Social Care,HSC
DFLEURBRUR,Disability Free Life Expectancy at Birth,Life expectancy and general health,HILEGH,Life Expectancy,MLBKOIP2
DISPREVAA,Raw disease prevalence,Disease prevalence,HCDDP,Health Conditions and Disability,MLBTH3P6
DISPREVDEA,Raw disease prevalence,Disease prevalence,HCDDP,Health Conditions and Disability,MLBTH3P6
DISPREVHSCT,Raw disease prevalence,Disease prevalence,HCDDP,Health Conditions and Disability,MLBTH3P6
DISPREVLGD,Raw disease prevalence,Disease prevalence,HCDDP,Community Support and Health Services,DOM8
DISPREVLGD,Raw disease prevalence,Disease prevalence,HCDDP,Health Conditions and Disability,MLBTH3P6
DISPREVNI,Raw disease prevalence - Northern Ireland,Disease prevalence,HCDDP,Health Conditions and Disability,MLBTH3P6
DOMAA,Domestic Abuse Crimes,Domestic abuse,CDA,Recorded Crime and Anti-social Behaviour,MLBTH5P1
DOMDEA,Domestic Abuse Incidents and Crimes,Domestic abuse,CDA,Recorded Crime and Anti-social Behaviour,MLBTH5P1
DOMHSCT,Domestic Abuse  Crimes,Domestic abuse,CDA,Recorded Crime and Anti-social Behaviour,MLBTH5P1
DOMLGD,Domestic Abuse Incidents and Crimes,Domestic abuse,CDA,Recorded Crime and Anti-social Behaviour,MLBTH5P1
DOMUR,Domestic Abuse Crimes,Domestic abuse,CDA,Crime and Justice,CJ
DOMUR,Domestic Abuse Crimes,Domestic abuse,CDA,Recorded Crime and Anti-social Behaviour,MLBTH5P1
DOMWARD,Domestic Abuse Incidents and Crimes,Domestic abuse,CDA,Recorded Crime and Anti-social Behaviour,MLBTH5P1
DTHCAUSE,Deaths,Deaths,BDMD,Mortality,MLBTH3P1
DTHCAUSELGD,Deaths,Deaths,BDMD,Mortality,MLBTH3P1
DTHSALCHSCT,Alcohol Specific Deaths,Deaths,BDMD,Mortality,MLBTH3P1
DTHSALCHSCT,Alcohol Specific Deaths,Deaths,BDMD,Healthy Behaviours,MLBTH3P4
DTHSALCLGD,Alcohol Specific Deaths,Deaths,BDMD,Mortality,MLBTH3P1
DTHSALCLGD,Alcohol Specific Deaths,Deaths,BDMD,Healthy Behaviours,MLBTH3P4
DTHSDRHSCT,Drug-Related Deaths,Deaths,BDMD,Mortality,MLBTH3P1
DTHSDRLGD,Drug-Related Deaths,Deaths,BDMD,Mortality,MLBTH3P1
DTHSHSCT,Deaths Registered,Deaths,BDMD,Mortality,MLBTH3P1
DTHSLGD,Deaths Registered,Deaths,BDMD,Mortality,MLBTH3P1
DTHSOBHSCT,Deaths due to Obesity,Deaths,BDMD,Mortality,MLBTH3P1
DTHSOBLGD,Deaths due to Obesity,Deaths,BDMD,Mortality,MLBTH3P1
EDATTENDAA,Standardised Attendance Rate ? Emergency Attendances,Hospital activity,HIHA,Hospital Activity,MLBTH3P5
EDATTENDDEA,Standardised Attendance Rate ? Emergency Attendances,Hospital activity,HIHA,Hospital Activity,MLBTH3P5
EDATTENDHSCT,Standardised Attendance Rate ? Emergency Attendances,Hospital activity,HIHA,Hospital Activity,MLBTH3P5
EDATTENDLGD,Standardised Attendance Rate ? Emergency Attendances,Hospital activity,HIHA,Hospital Activity,MLBTH3P5
FEACHMAA,Achievements in Further Education Colleges,Achievements,FEACH,Education and Training,MLBTH2P3
FEACHMDEA,Achievements in Further Education Colleges,Achievements,FEACH,Education and Training,MLBTH2P3
FEACHMHSCT,Achievements in Further Education Colleges,Achievements,FEACH,Education and Training,MLBTH2P3
FEACHMLGD,Achievements in Further Education Colleges,Achievements,FEACH,Education and Training,MLBTH2P3
FEARCRIMEHSCT,NISCS: Fear of Crime,Attitudes to crime,EAAC,Safe Communities Survey,MLBTH5P4
FEARCRIMELGD,NISCS: Fear of Crime,Attitudes to crime,EAAC,Safe Communities Survey,MLBTH5P4
FEENROLAA,Regulated enrolments at Further Education Colleges,Enrolments,FEENROL,Education and Training,MLBTH2P3
FEENROLDEA,Regulated enrolments at Further Education Colleges,Enrolments,FEENROL,Education and Training,MLBTH2P3
FEENROLHSCT,Regulated enrolments at Further Education Colleges,Enrolments,FEENROL,Education and Training,MLBTH2P3
FEENROLLGD,Regulated enrolments at Further Education Colleges,Enrolments,FEENROL,Education and Training,MLBTH2P3
FPSGDSDRAA,General Dental Services Dental Registrations,Dental,PCDENT,Healthy Children,MLBTH1P4
FPSGDSDRDEA,General Dental Services Dental Registrations,Dental,PCDENT,Healthy Children,MLBTH1P4
FPSGDSDREW,General Dental Services Dental Registrations,Dental,PCDENT,Healthy Children,MLBTH1P4
FPSGDSDRHSCT,General Dental Services Dental Registrations,Dental,PCDENT,Healthy Children,MLBTH1P4
FPSGDSDRLCG,General Dental Services Dental Registrations,Dental,PCDENT,Healthy Children,MLBTH1P4
FPSGDSDRLGD,General Dental Services Dental Registrations,Dental,PCDENT,Healthy Children,MLBTH1P4
FPSGDSDTAA,General Dental Services Dental Treatments,Dental,PCDENT,Healthy Behaviours,MLBTH3P4
FPSGDSDTDEA,General Dental Services Dental Treatments,Dental,PCDENT,Healthy Behaviours,MLBTH3P4
FPSGDSDTEW,General Dental Services Dental Treatments,Dental,PCDENT,Healthy Behaviours,MLBTH3P4
FPSGDSDTHSCT,General Dental Services Dental Treatments,Dental,PCDENT,Healthy Behaviours,MLBTH3P4
FPSGDSDTLCG,General Dental Services Dental Treatments,Dental,PCDENT,Healthy Behaviours,MLBTH3P4
FPSGDSDTLGD,General Dental Services Dental Treatments,Dental,PCDENT,Healthy Behaviours,MLBTH3P4
GHGALL,Greenhouse Gas Emissions - Full dataset,Greenhouse gas emissions,EECGGE,Environmental,MLBTH4P6
GHGALLRATES,Greenhouse Gas Emissions (Rates) - Full dataset,Greenhouse gas emissions,EECGGE,Environmental,MLBTH4P6
GHGINSCOPE,Greenhouse Gas Emissions - Subset dataset,Greenhouse gas emissions,EECGGE,Environmental,MLBTH4P6
GHGINSCOPERATES,Greenhouse Gas Emissions (Rates) - Subset dataset,Greenhouse gas emissions,EECGGE,Environmental,MLBTH4P6
GPREGAA,GP Registrations,Medical,PCMED,Healthy Children,MLBTH1P4
GPREGAA,GP Registrations,Medical,PCMED,Healthy Ageing,MLBTH2P1
GPREGHSCT,GP Registrations,Medical,PCMED,Healthy Children,MLBTH1P4
GPREGHSCT,GP Registrations,Medical,PCMED,Healthy Ageing,MLBTH2P1
GPREGLGD,GP Registrations,Medical,PCMED,Healthy Children,MLBTH1P4
GPREGLGD,GP Registrations,Medical,PCMED,Healthy Ageing,MLBTH2P1
GPREGWARD,GP Registrations,Medical,PCMED,Healthy Children,MLBTH1P4
GPREGWARD,GP Registrations,Medical,PCMED,Healthy Ageing,MLBTH2P1
HATEAA,Hate Motivated Crimes,Hate motivated crimes and incidents,CHMCI,Recorded Crime and Anti-social Behaviour,MLBTH5P1
HATEDEA,Hate Motivated Incidents and Crimes,Hate motivated crimes and incidents,CHMCI,Recorded Crime and Anti-social Behaviour,MLBTH5P1
HATEHSCT,Hate Motivated Crimes,Hate motivated crimes and incidents,CHMCI,Recorded Crime and Anti-social Behaviour,MLBTH5P1
HATELGD,Hate Motivated Incidents and Crimes,Hate motivated crimes and incidents,CHMCI,Recorded Crime and Anti-social Behaviour,MLBTH5P1
HATEUR,Hate Motivated Crimes,Hate motivated crimes and incidents,CHMCI,Crime and Justice,CJ
HATEUR,Hate Motivated Crimes,Hate motivated crimes and incidents,CHMCI,Recorded Crime and Anti-social Behaviour,MLBTH5P1
HATEWARD,Hate Motivated Incidents and Crimes,Hate motivated crimes and incidents,CHMCI,Recorded Crime and Anti-social Behaviour,MLBTH5P1
HEENROLAA,Enrolments at Higher Education Institutions,Enrolments,HEENROL,Education and Training,MLBTH2P3
HEENROLDEA,Enrolments at Higher Education Institutions,Enrolments,HEENROL,Education and Training,MLBTH2P3
HEENROLHSCT,Enrolments at Higher Education Institutions,Enrolments,HEENROL,Education and Training,MLBTH2P3
HEENROLLGD,Enrolments at Higher Education Institutions,Enrolments,HEENROL,Education and Training,MLBTH2P3
HEQUALAA,Qualifications at Higher Education Institutions,Qualifications,HEQUAL,Education and Training,MLBTH2P3
HEQUALDEA,Qualifications at Higher Education Institutions,Qualifications,HEQUAL,Education and Training,MLBTH2P3
HEQUALHSCT,Qualifications at Higher Education Institutions,Qualifications,HEQUAL,Education and Training,MLBTH2P3
HEQUALLGD,Qualifications at Higher Education Institutions,Qualifications,HEQUAL,Education and Training,MLBTH2P3
HHTLGD,Continuous Household Survey: Household Tenure,Housing stock,HHS,Housing,MLBTH4P8
HSECIGEQ,Use of E-Cigarettes,Smoking,HBSMK,Health Survey,HLTHSUR
HSGENHEQ,General Health,General health,HCDGH,Health Survey,HLTHSUR
HSNSMOKEQ,Never Smoked,Smoking,HBSMK,Health Survey,HLTHSUR
HSSMOKEQ,Smoking,Smoking,HBSMK,Health Survey,HLTHSUR
HSSMOKEQ,Smoking,Smoking,HBSMK,Healthy Behaviours,MLBTH3P4
IDCAGEHSCT,Intensive Domiciliary Care Client Age Groups,Care at home,CAHS,Community Support and Health Services,DOM8
INCDEPINEQEQ,Income Deprivation and Inequality,Poverty,DPP,Family Resources Survey,FRS
INCMEANGEOG,Mean Weekly Household Income (Before Housing Costs),Poverty,DPP,People and Communities,PC
INCMEDIANGEOG,Median Equivalised Net Weekly Household Income,Poverty,DPP,People and Communities,PC
INCQUINGEOG,Quintile distribution of net equivalised weekly household income,Poverty,DPP,People and Communities,PC
INDARTCULEQ,Indicator - Arts and cultural activties,Arts and cultural activities,ACA,People and Communities,PC
INDATPUBEQ,Indicator - Sustainable travel - public transport,Sustainable travel - public transport,STPT,"Transport, Environment and Climate Change",TECC
INDATWALKEQ,Indicator - Active travel - walking and cycling,Active travel - walking and cycling,ATWC,"Transport, Environment and Climate Change",TECC
INDCHSCAA,Indicator - Children's social care,Children's social care,CSC,Children Services,MLBTH1P6
INDCHSCEQ,Indicator - Children's social care,Children's social care,CSC,Health and Social Care,HSC
INDCHSCEQ,Indicator - Children's social care,Children's social care,CSC,Children Services,MLBTH1P6
INDCHSCLGD,Indicator - Children's social care,Children's social care,CSC,Children Services,MLBTH1P6
INDCOMRELEQ,Indicator - Community relations,Community relations,CREL,People and Communities,PC
INDCRIMEEQ,Indicator - Crime prevalence rate,Crime prevalence rate,CPR,Crime and Justice,CJ
INDCULTIDEQ,Indicator - Cultural identity,Cultural identity,CIDENT,People and Communities,PC
INDECONINACTEQ,Indicator - Economic inactivity,Economic inactivity,EI,"Work, Pay and Benefits",WPB
INDEMPRATEEQ,Indicator - Employment rate,Employment rate,ERATE,"Work, Pay and Benefits",WPB
INDHLEFEQ,Indicator - Healthy life expectancy (females),Healthy life expectancy (females),HLEF,Health and Social Care,HSC
INDHLEFEQ,Indicator - Healthy life expectancy (females),Healthy life expectancy (females),HLEF,Life Expectancy,MLBKOIP2
INDHLEMEQ,Indicator - Healthy life expectancy (males),Healthy life expectancy (males),HLEM,Health and Social Care,HSC
INDHLEMEQ,Indicator - Healthy life expectancy (males),Healthy life expectancy (males),HLEM,Life Expectancy,MLBKOIP2
INDHOUSCTEQ,Indicator - Housing costs as a proportion of household income,Housing costs as a proportion of household income,HCPHI,People and Communities,PC
INDHOUSTRSEQ,Indicator - Housing stress,Housing stress,HS,People and Communities,PC
INDINCDPEQ,Indicator - Income deprivation,Income deprivation,INCDEP,People and Communities,PC
INDINCIEQEQ,Indicator - Income inequality,Income inequality,INCINEQ,People and Communities,PC
